name,description,availability,price,discount_price,sku
Unitek Y-C957ABK 3.5mm Female to 2 x 3.5mm Male Cable 0.2m,Type:3.5mm to 2x3.5mm|Length:0.2m,Out of Stock,€4.50,,unitek-y-c957abk-35mm-female-to-2-x-35mm-male-cable-02m
Unitek Y-C926ABK 3.5mm to 3.5mm Audio Cable 1.0m,Type:3.5mm to 3.5mm|Length:1.0m,Out of Stock,€4.50,,unitek-y-c926abk-35mm-to-35mm-audio-cable-10m
AV:link 3RCA to 3RCA Cable 3.0m 112.074UK,Type:3RCA|Length:3.0m,Out of Stock,€4.50,,av-link-3rca-to-3rca-cable-30m-112074uk
Unitek Audio 3.5mm M-F Extension Cable 1.0m Y-C932ABK,Type:3.5mm to 3.5mm|Length:1.0m|Extension:Yes,Out of Stock,€4.50,,unitek-audio-35mm-m-f-extension-cable-10m-y-c932abk
D-link Patch cord  Cat 6 UTP 4 m,"UTP CAT 6 250MHz Bulk cable
Conductor Metal: Solid Bare Copper
Jacket Material: Double sheath, PVC Inner Sheath
UV PVC Outer Sheath
4 m Lenght
Connector RJ-45 metallic",Out of Stock,€4.50,,d-link-patch-cord-cat-6-utp-4-m
Power Extension Cable Red Act C13 to C14 AK5105 1.20m,"Connector A: IEC 60320 C13 straight female (x1)
Connector B: IEC 60320 C14 straight male (x1)
Conductor material: Copper
Number of wires: 3
Outer jacket: PVC",Out of Stock,€4.50,,power-extension-cable-red-act-c13-to-c14-ak5105-120m
Power Cable UK 1.8 m 3 Pin,"Pin 3
Cable For laptop Power Adapter
Plug Connrector EU
Cable lenght 1.8m",Out of Stock,€4.50,,power-cable-uk-18-m-3-pin
DVI to VGA adapter Male to Female,"Connector A: DVI-A male
Connector B: VGA Female",Out of Stock,€4.50,,dvi-to-vga-adapter-male-to-female
Vcom CV201-3 3.5mm to 3.5mm Cable 3.0m,Type:3.5mm to 3.5mm|Length:3.0m,Out of Stock,€4.50,,vcom-cv201-3-35mm-to-35mm-cable-30m
Vcom CV0223 2RCA to 2RCA 3.0m,Type:2RCA|Length:3.0m,Out of Stock,€4.50,,vcom-cv0223-2rca-to-2rca-30m
AV:link 2RCA to 2RCA Cable 5.0m 112.052UK,Type:2RCA|Length:5.0m,Out of Stock,€4.50,,av-link-2rca-to-2rca-cable-50m-112052uk
Mercury IEC Extension Lead 2.0m Bag 114.053UK,Type:IEC extension|Length:2.0m,Out of Stock,€4.50,,mercury-iec-extension-lead-20m-bag-114053uk-5015972178072
Lanberg USB Type-A 3.0 Male to Male Cable 1.0m Black,Cable Type:USB|USB Type:USB-A to USB-A|USB Version:3.0|Length:1.0m,Out of Stock,€4.51,,lanberg-usb-type-a-30-male-to-male-cable-10m-black
Unitek UC USB-A 2.0 M-M Cable 1.5m Y-C442GBK,Cable Type:USB|USB Type:USB-A to USB-A|USB Version:2.0|Length:1.5m,Out of Stock,€4.74,,unitek-uc-usb-a-20-m-m-cable-15m-y-c442gbk
Unitek Y-C459GBK USB3.0 USB-A Male to USB-A Female...,Cable Type:USB|USB Type:USB-A to USB-A Extension|USB Version:3.0|Length:2.0m,Out of Stock,€4.74,,unitek-y-c459gbk-usb30-usb-a-male-to-usb-a-female-extension-cable-2m
Unitek Y-2146 4-port USB2.0 Hub with 11cm cable,"Best solution for USB port expansion
	With USB2.0 specification
	Support data transfer up to 480Mbps
	Plug and play, no need to install driver
	Backward compatible with USB1.1",Out of Stock,€4.74,,unitek-y-2146-4-port-usb20-hub-with-11cm-cable
Teltonika DIN Rail Kit Plastic,No description available,Out of Stock,€4.74,,teltonika-din-rail-kit-plastic
Alcatroz ASIC 3 Wired Mouse White Blister,Type:Wired|Dpi:1600,Out of Stock,€4.74,,alcatroz-asic-3-wired-mouse-white-blister
Natec COLORS SERIES Medium Mousepad Obsidian Black,No description available,Out of Stock,€4.74,,natec-colors-series-medium-mousepad-obsidian-black
Unitek Y-C503G VGA to VGA Cable 1.5m,Cable Type:VGA|Ferrite:Yes|Length:1.5m,Out of Stock,€4.75,,unitek-y-c503g-vga-to-vga-cable-15m
Unitek Y-C810ABL Patch Cable CAT6 Blue 2.0m,Type:Cat6|Conductor:Copper|Length:2.0m|Colour:Blue,Out of Stock,€4.75,,unitek-y-c810abl-patch-cable-cat6-blue-20m-4894160012272
Unitek C1809GBK Flat Patch Cable CAT6 Black 1.0m,Type:Cat6|Conductor:Copper|Length:1.0m|Colour:Black,Out of Stock,€4.75,,unitek-c1809gbk-flat-patch-cable-cat6-black-10m
Unitek UCE USB-A 3.0 Extension Cable 1.0m Y-C457GBK,Cable Type:USB|USB Type:USB-A to USB-A Extension|USB Version:3.0|Length:1.0m,Out of Stock,€4.75,,unitek-uce-usb-a-30-extension-cable-10m-y-c457gbk-4894160026378
Power Cable 3 Pin UK socket IEC C5 1.8 m,"Connector : IEC C5 (3Pin)
Plug Connrector UK
Cable lenght 1.8m
Cable For laptop Power Adapter",Out of Stock,€4.80,,power-cable-3-pin-uk-socket-iec-c5-18-m
Mercury Laptop Power Cable Black 3A 1m 114.041UK,Type:Cloverleaf|Length:1.0m,Out of Stock,€4.85,,mercury-laptop-power-cable-black-3a-1m-114041uk-5015972178041
Unitek Y-C4046BK USB to DC 5.5x2.5mm Power 1.5m,"Type:USB to DC
Length:1.5m
DC 5.5x2.5mm",Out of Stock,€4.90,,unitek-y-c4046bk-usb-to-dc-55x25mm-power-15m
Unitek Y-C495BK USB to DC 3.5x1.35mm Power 1.5m,Type:USB to DC|Length:1.0m,Out of Stock,€4.90,,unitek-y-c495bk-usb-to-dc-35x135mm-power-15m
Mercury IEC RA Power Cable 1.0m Bag 114.021UK,Type:IEC|Length:1.0m,Out of Stock,€4.90,,mercury-iec-ra-power-cable-10m-bag-114021uk-5015972177952
Mercury IEC Lead 1.5m Bag 114.005UK,Type:IEC|Length:1.5m,Out of Stock,€4.90,,mercury-iec-lead-15m-bag-114005uk
Armaggeddon CORE-12 Chrome Fan,"Type: Case Fan
LED TYPE:Single
Color:Multicolor",Out of Stock,€4.90,,armaggeddon-core-12-chrome-fan
Natec HUSKY Thermal Grease 4g Gray,Type:Thermal Paste|Color:Grey,Out of Stock,€4.90,,natec-husky-thermal-grease-4g-gray-5901969412970
DVI to VGA adapter Logilink AD0001 DVI 24+1 M to VGA F,"Connector A: DVI 24+1 pin male
Connector B: VGA Female
Gold-plated contacts
Color: Black",Out of Stock,€5.00,,dvi-to-vga-adapter-logilink-ad0001-dvi-241-m-to-vga-f
D-Link Cat 6 UTP 24AWG ethernet cable 2m,"4 Pairs Unshielded Twisted Pair (UTP)
Conductor Metal: Bare Copper
Color Code: Blue/Gray
Conductor: 24 AWG
Insulation Material: HD-PE",Out of Stock,€5.00,,d-link-cat-6-utp-24awg-ethernet-cable-2m
2 x 6 pin to 8 pin adapter PCIe for Graphics Cards,2 x 6 pin to 8 pin adapter PCIe for Graphics Cards,Out of Stock,€5.00,,2-x-6-pin-to-8-pin-adapter-pcie-for-graphics-cards
Jack 3.5mm Spliter,1 male to 2 female,Out of Stock,€5.00,,jack-35mm-spliter
DVI-D Singl link Male to Male / 1.5 m,"Cable for Digital Visual Interface DVI TV and Monitor Cable Singl Link
DVI 20 male to DVI 20 male Singl-Link-wiring  double shielded with Ferrit core Molded hoods with thumbscrews Suitable for resolutions up to 2560x1600",Out of Stock,€5.00,,dvi-d-singl-link-male-to-male-15-m
Wi-Fi Antenna Ext. Cable 3 meters SMA to RevSMA,"Easy and quick deployment into suitable WLAN environment
Cables length: 3 meters
Features higher performance low loss CFD-200 cable with excellent flexibility
RP-SMA Male to Female connector, works with RP-SMA type antennas",Out of Stock,€5.00,,wi-fi-antenna-ext-cable-3-meters-sma-to-revsma
Techlink WiresNX USB 2.0 A - MiniB 4p 2.0m 690242,Cable Type:USB|USB Type:USB 4pin mini|USB Version:2.0|Length:2.0m,Out of Stock,€5.00,,techlink-wiresnx-usb-20-a-minib-4p-20m-690242
Thermal paste Compound MX4 4gr,"The ARCTIC MX-4 is a new thermal compound that guarantees exceptional heat dissipation from components and maintains
the needed stability to push your computer system to its maximum.
The ARCTIC MX-4 continues to be overclocker’s ultimate choice...",Out of Stock,€5.00,,thermal-paste-compound-mx4-4gr-4895213701662
Inline 29683F POWER CABLE Sata to 2 pin x2,Connector 1: SATAConnector 2: 2 x 2 pinLength 0.30 cm,Out of Stock,€5.00,,inline-29683f-power-cable-sata-to-2-pin-x2-
Sata x 2 to 8 Pin PCI- Express Adapter,"POWER ADAPTER 2xSATA TO 8PIN
FOR PCI-Express plug 0,15m",Out of Stock,€5.00,,sata-x-2-to-8-pin-pci-express-adapter
Gamemax GMX AF12R Red Led Fan,Type:Fan|LED TYPE:Single|Color:Red,Out of Stock,€5.00,,gamemax-gmx-af12r-red-led-fan
Orico RJ45 Cable Extender / PUG-MTM,"ORICO PUG-MTM


Chassis Material   ABS


Interface   RJ45 Male to Male


Color  Black


Bandwidth Cap  1000Mbps",Out of Stock,€5.00,,orico-rj45-cable-extender-pug-mtm-6936761858243
Armaggeddon MKA-2C Neo White Mechanical Gaming Keyboard,"Type: Wired
Mechanical Keys: Yes
Number of Keys: 87
Switch Type: Red
Light FX: Yes",Out of Stock,€5.00,€28.00,armaggeddon-mka-2c-neo-white-mechanical-gaming-keyboard-8886411988074
Alcatroz X-Craft Classic Galaxy Gaming Mouse,Mouse Type:Wired|Type:Wired|Dpi:2400|Extras:Graphic Lighting effect|Light FX:Yes,Out of Stock,€5.00,,alcatroz-x-craft-classic-galaxy-gaming-mouse
Unitek C1896BK-1M CAT6 M-F Extension Cable 1.0m,Type:Cat6|Conductor:Copper|Length:1.0m|Colour:Black,Out of Stock,€5.22,,unitek-c1896bk-1m-cat6-m-f-extension-cable-10m
Solarix Ethernet Patch Cord CAT6a SFTP CU 0.5m Grey,Type:Cat6a|Conductor:Copper|Length:0.5m|Colour:Grey,Out of Stock,€5.22,,solarix-ethernet-patch-cord-cat6a-sftp-cu-05m-grey
